ISIN-CODE,NSE-CODE,buy-date,buy-price,sell-date,sell-price,buy-share-count,returns-share-count,invested,cumulative-returns,n-return-times,CAGR,corporate-action-count
INE117A01022,ABB LTD.  ,2020-04-15,919.25,2021-03-02,1520.1,54,54,50000,82085.4,1,4,0
INE208C01025,AEGIS LOGIS ,2020-04-15,160.9,2021-03-02,323.25,310,310,50000,100207.5,2,5,0
INE885A01032,AMAR RAJA BA,2020-04-15,510.75,2021-03-02,908.4,97,97,50000,88114.8,1,4,0
INE432A01017,A.SARABHAI,2020-04-15,18.15,2021-03-02,19.85,2754,2754,50000,54666.9,1,0,0
INE714B01016,ANDHRA PETRO,2020-04-15,20.75,2021-03-02,69.1,2409,2409,50000,166461.9,3,10,0
INE436A01026,ANSAL INFRAS,2020-04-15,4.11,2021-03-02,8.3,12165,12165,50000,100969.50000000001,2,6,0
INE957C01019,ARUNAHTEL ,2020-04-15,6.12,2021-03-02,6.38,8169,8169,50000,52118.22,1,0,0
INE032A01023,BOM DYEING,2020-04-15,50.65,2021-03-02,80.05,987,987,50000,79009.34999999999,1,3,0
INE363A01022,ASIANHOTNR,2020-04-15,70.0,2021-03-02,71.8,714,714,50000,51265.2,1,0,0
INE100A01010,ATUL LTD. ,2020-04-15,4216.05,2021-03-02,6622.35,11,11,50000,72845.85,1,3,0
INE447A01015,ATV PROJECTS,2020-04-15,3.36,2021-03-02,4.58,14880,14880,50000,68150.4,1,2,0
INE448A01013,AUTOLITE(I) ,2020-04-15,15.74,2021-03-02,27.05,3176,3176,50000,85910.8,1,4,0
INE193E01025,BAJAJ ELECT.,2020-04-15,316.7,2021-03-02,999.0,157,157,50000,156843.0,3,9,0
INE306A01021,BAJAJHIND ,2020-04-15,3.78,2021-03-02,6.53,13227,13227,50000,86372.31,1,4,0
INE451A01017,FORCE MOTR,2020-04-15,787.5,2021-03-02,1311.7,63,63,50000,82637.1,1,4,0
INE119A01028,BALRAM.CHINI,2020-04-15,111.05,2021-03-02,189.1,450,450,50000,85095.0,1,4,0
INE213C01025,BANCO PROD. ,2020-04-15,67.2,2021-03-02,156.8,744,744,50000,116659.20000000001,2,7,0
INE055A01016,CENTURY TEXT,2020-04-15,321.1,2021-03-02,519.15,155,155,50000,80468.25,1,4,0
INE459A01010,BANNARI AMAN,2020-04-15,867.5,2021-03-02,1806.9,57,57,50000,102993.3,2,6,0
INE373A01013,BASF INDIA,2020-04-15,1125.15,2021-03-02,2103.4,44,44,50000,92549.6,1,5,0
INE176A01028,BATA INDIA,2020-04-15,1204.15,2021-03-02,1495.8,41,41,50000,61327.799999999996,1,1,0
INE258A01016,BEML LTD  ,2020-04-15,602.3,2021-03-02,1226.4,83,83,50000,101791.20000000001,2,6,0
INE922A01025,BHANSALI ENG,2020-04-15,33.55,2021-03-02,142.3,1490,1490,50000,212027.00000000003,4,12,0
INE824B01021,TATASTLBSL,2020-04-15,17.7,2021-03-02,47.3,2824,2824,50000,133575.19999999998,2,8,0
INE800A01015,BIRLACABLE,2020-04-15,35.6,2021-03-02,60.65,1404,1404,50000,85152.59999999999,1,4,0
INE472A01039,BLUE STAR ,2020-04-15,477.6,2021-03-02,909.2,104,104,50000,94556.8,1,5,0
INE131C01011,DISA INDIA,2020-04-15,3476.5,2021-03-02,4854.8,14,14,50000,67967.2,1,2,0
INE110A01019,BPL LTD.  ,2020-04-15,16.24,2021-03-02,23.25,3078,3078,50000,71563.5,1,3,0
INE959C01023,OAL       ,2020-04-15,160.2,2021-03-02,600.1,312,312,50000,187231.2,3,11,0
INE281A01026,CENTURY EXT ,2020-04-15,2.16,2021-03-02,4.69,23148,23148,50000,108564.12000000001,2,6,0
INE486A01013,CESC LTD. ,2020-04-15,504.5,2021-03-02,620.15,99,99,50000,61394.85,1,1,0
INE085A01013,CHAMBAL FERT,2020-04-15,129.3,2021-03-02,247.7,386,386,50000,95612.2,1,5,0
INE302A01020,EXIDE IND.,2020-04-15,140.5,2021-03-02,208.75,355,355,50000,74106.25,1,3,0
INE059A01026,CIPLA LTD.,2020-04-15,592.55,2021-03-02,812.1,84,84,50000,68216.40000000001,1,2,0
INE067A01029,CGPOWER   ,2020-04-15,8.22,2021-03-02,57.5,6082,6082,50000,349715.0,6,17,0
INE016A01026,DABUR (I) ,2020-04-15,502.9,2021-03-02,511.05,99,99,50000,50593.950000000004,1,0,0
INE495A01022,DALMIASUG ,2020-04-15,64.7,2021-03-02,171.3,772,772,50000,132243.6,2,8,0
INE034A01011,ARVIND Ltd,2020-04-15,26.3,2021-03-02,77.5,1901,1901,50000,147327.5,2,9,0
INE294A01037,BALARPUR IND,2020-04-15,0.35,2021-03-02,1.29,142857,142857,50000,184285.53,3,11,0
INE257A01026,BHEL      ,2020-04-15,21.45,2021-03-02,51.75,2331,2331,50000,120629.25,2,7,0
INE094A01015,HIND.PETRO,2020-04-15,209.05,2021-03-02,249.95,239,239,50000,59738.049999999996,1,1,0
INE153A01019,MAHA.TELE ,2020-04-15,8.47,2021-03-02,13.98,5903,5903,50000,82523.94,1,4,0
INE103A01014,MRPL      ,2020-04-15,28.05,2021-03-02,43.65,1782,1782,50000,77784.3,1,3,0
INE178A01016,CHENNAI PET.,2020-04-15,63.1,2021-03-02,109.8,792,792,50000,86961.59999999999,1,4,0
