SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500109,MRPL        ,A ,Q,27.80,28.40,27.65,28.05,28.05,27.15,716,77864,2192362.00,,INE103A01014,15-Apr-20,,
500110,CHENNAI PET.,A ,Q,63.50,64.75,62.50,63.10,63.10,62.55,631,24641,1576982.00,,INE178A01016,15-Apr-20,,
500111,REL.CAP.    ,A ,Q,5.15,5.20,4.41,4.44,4.44,4.89,4864,3138663,14523443.00,,INE013A01015,15-Apr-20,,
500112,STATE BANK  ,A ,Q,187.45,191.90,180.25,182.30,182.30,183.55,25636,3427072,639487484.00,,INE062A01020,15-Apr-20,,
500113,STEEL AUTH. ,A ,Q,26.80,27.15,25.80,26.15,26.15,26.30,10071,1168771,31060013.00,,INE114A01011,15-Apr-20,,
500114,TITAN       ,A ,Q,979.55,989.90,938.00,949.90,949.90,967.35,6111,161119,156380693.00,,INE280A01028,15-Apr-20,,
500116,IDBI BANK L ,A ,Q,20.70,21.25,20.45,20.55,20.55,20.75,526,123501,2573463.00,,INE008A01015,15-Apr-20,,
500117,DCW LTD.    ,B ,Q,10.85,10.85,9.36,9.76,9.76,9.70,175,37710,376398.00,,INE500A01029,15-Apr-20,,
500119,DHAMPUR SUGA,B ,Q,109.00,109.60,103.00,103.95,103.95,107.60,1923,45454,4816737.00,,INE041A01016,15-Apr-20,,
500120,DIAMINES&CHM,X ,Q,189.00,196.40,181.00,183.20,185.75,187.85,296,17311,3294070.00,,INE591D01014,15-Apr-20,,
500123,ELANTAS     ,B ,Q,2242.20,2350.05,2242.20,2337.15,2348.00,2221.75,345,1052,2449610.00,,INE280B01018,15-Apr-20,,
500124,DR.REDDY'S  ,A ,Q,3775.00,3893.95,3775.00,3803.95,3805.00,3744.50,4158,39939,153339480.00,,INE089A01023,15-Apr-20,,
500125,E.I.D.PAR   ,A ,Q,138.40,140.50,132.50,133.50,133.95,137.45,895,10377,1420141.00,,INE126A01031,15-Apr-20,,
500126,PGHL        ,A ,Q,4450.00,4468.00,4250.00,4395.40,4374.40,4350.90,206,550,2401057.00,,INE199A01012,15-Apr-20,,
500128,ELEC.CASTING,B ,Q,9.48,9.59,9.26,9.28,9.26,9.32,86,6646,62299.00,,INE086A01029,15-Apr-20,,
500133,ESAB INDIA  ,B ,Q,1034.10,1087.85,907.10,1048.70,1042.20,1053.95,53,555,561871.00,,INE284A01012,15-Apr-20,,
500135,ESSEL PROP  ,A ,Q,167.50,169.15,164.50,164.50,164.50,167.00,183,3587,599277.00,,INE255A01020,15-Apr-20,,
500136,ESTER INDUS.,B ,Q,27.85,28.60,27.20,27.35,27.45,27.25,173,9841,275849.00,,INE778B01029,15-Apr-20,,
500142,FGP LTD.    ,X ,Q,1.46,1.46,1.46,1.46,1.46,1.44,1,3416,4987.00,,INE512A01016,15-Apr-20,,
500143,P.H.CAPITAL ,XT,Q,18.90,18.90,18.90,18.90,18.90,18.00,1,10,189.00,,INE160F01013,15-Apr-20,,
500144,FINOL. CABLE,A ,Q,239.00,245.20,236.10,240.70,240.70,233.55,617,4732,1142502.00,,INE235A01022,15-Apr-20,,
500147,CMI FPE     ,X ,Q,496.00,525.00,496.00,506.80,500.00,520.25,34,793,413079.00,,INE515A01019,15-Apr-20,,
500148,UFLEX LTD   ,A ,Q,164.65,172.00,164.65,165.45,165.45,163.40,182,2539,426417.00,,INE516A01017,15-Apr-20,,
500150,FOSECO INDIA,B ,Q,1001.00,1063.00,1000.00,1024.00,1024.00,995.50,38,370,380962.00,,INE519A01011,15-Apr-20,,
500153,GANESH BENZO,X ,Q,30.70,32.35,28.55,28.95,28.85,29.45,248,47237,1429630.00,,INE388A01029,15-Apr-20,,
500159,METROGLOBL  ,X ,Q,33.20,41.00,33.20,35.85,34.30,35.80,43,2910,104042.00,,INE085D01033,15-Apr-20,,
500160,GTL LTD.    ,B ,Q,1.27,1.27,1.27,1.27,1.27,1.26,1,1000,1270.00,,INE043A01012,15-Apr-20,,
500163,GODFREY PH  ,A ,Q,1006.90,1040.00,988.70,996.30,996.30,992.70,797,5902,5988799.00,,INE260B01028,15-Apr-20,,
500164,GODREJ IND  ,A ,Q,280.00,281.80,272.10,273.20,273.20,276.30,3454,25921,7165095.00,,INE233A01035,15-Apr-20,,
500165,KANSAI NERO ,A ,Q,370.00,370.10,348.50,351.20,353.35,357.75,1391,11907,4298016.00,,INE531A01024,15-Apr-20,,
500166,GOODRICKE   ,X ,Q,148.00,154.00,145.00,146.70,148.00,138.80,843,39331,5901460.00,,INE300A01016,15-Apr-20,,
500168,GOODYEAR (I),B ,Q,654.00,659.90,620.00,631.45,636.95,635.10,327,4109,2638515.00,,INE533A01012,15-Apr-20,,
500170,GTN INDUS   ,B ,Q,5.36,5.36,5.14,5.14,5.14,5.36,2,50,259.00,,INE537A01013,15-Apr-20,,
500171,GHCL LTD    ,A ,Q,114.90,116.70,110.00,112.45,114.00,112.75,2220,41491,4702479.00,,INE539A01019,15-Apr-20,,
500173,GFLLIMITED  ,B ,Q,83.00,84.85,80.00,80.25,80.65,80.90,171,2660,219390.00,,INE538A01037,15-Apr-20,,
500179,HCL INFOSYS ,B ,Q,4.94,5.07,4.94,5.07,5.07,4.83,103,87423,442667.00,,INE236A01020,15-Apr-20,,
500180,HDFC BANK   ,A ,Q,929.00,929.75,843.35,863.45,863.45,895.45,41715,1124232,992795977.00,,INE040A01034,15-Apr-20,,
500182,HEROMOTOCO  ,A ,Q,1919.00,1972.50,1815.00,1824.90,1824.90,1917.45,6155,42710,80772368.00,,INE158A01026,15-Apr-20,,
500183,HFCL        ,A ,Q,11.45,12.10,11.26,11.38,11.38,11.07,1238,181785,2114203.00,,INE548A01028,15-Apr-20,,
500184,HSCL        ,A ,Q,47.00,50.40,43.75,46.25,46.25,48.00,2487,206058,9739394.00,,INE019C01026,15-Apr-20,,
500185,HIND.CONSTN.,B ,Q,4.76,4.76,4.75,4.76,4.76,4.54,60,73263,348729.00,,INE549A01026,15-Apr-20,,
500186,HIND.OIL EXP,B ,Q,39.25,39.85,37.75,38.20,38.25,38.50,490,24745,962546.00,,INE345A01011,15-Apr-20,,
500187,HSIL        ,B ,Q,48.05,51.40,48.05,50.20,50.80,47.15,208,3899,194693.00,,INE415A01038,15-Apr-20,,
500188,HINDUS.ZI   ,A ,Q,166.50,173.30,166.35,170.05,169.60,165.20,1428,48504,8260557.00,,INE267A01025,15-Apr-20,,
500189,NXTDIGITAL  ,B ,Q,260.90,260.90,260.10,260.10,260.10,248.50,7,70,18215.00,,INE353A01023,15-Apr-20,,
500191,HMT LTD.    ,Z ,Q,10.55,11.00,9.99,10.99,11.00,10.51,52,6974,73342.00,,INE262A01018,15-Apr-20,,
500192,PRAG BOSIMI ,XT,Q,2.11,2.31,2.11,2.31,2.31,2.20,11,2602,5896.00,,INE962B01011,15-Apr-20,,
500193,HLVLTD      ,B ,Q,3.70,3.94,3.66,3.74,3.69,3.70,45,16104,61262.00,,INE102A01024,15-Apr-20,,
500199,I.G.PETRO   ,B ,Q,140.00,140.90,139.00,140.90,140.90,134.20,41,1362,191125.00,,INE204A01010,15-Apr-20,,
500201,IND.GLYCOLS ,B ,Q,260.65,269.80,251.35,253.65,254.15,256.35,1012,28635,7428104.00,,INE560A01015,15-Apr-20,,
500207,INDO RAMA   ,B ,Q,13.72,13.73,13.72,13.72,13.72,14.44,13,435,5968.00,,INE156A01020,15-Apr-20,,
500209,INFOSYS LTD ,A ,Q,645.00,652.80,635.70,639.15,639.15,637.10,12463,794120,514030143.00,,INE009A01021,15-Apr-20,,
500210,INGERSOLL   ,B ,Q,634.80,639.95,627.00,627.95,629.40,630.50,75,985,623426.00,,INE177A01018,15-Apr-20,,
500211,INSILCO LTD.,X ,Q,8.64,9.00,8.25,8.60,8.60,8.25,11,2529,21681.00,,INE901A01011,15-Apr-20,,
500213,INTER.TRAVEL,X ,Q,52.95,54.10,45.90,51.00,51.00,49.20,79,2386,123661.00,,INE262B01016,15-Apr-20,,
500214,ION EXCHANGE,B ,Q,638.00,714.00,638.00,683.90,683.90,636.30,1349,31033,21444070.00,,INE570A01014,15-Apr-20,,
500215,AGRO TECH FO,B ,Q,489.00,562.95,480.00,499.20,499.20,471.00,55,544,269556.00,,INE209A01019,15-Apr-20,,
500219,JAIN IRRIG  ,A ,Q,4.46,4.46,4.46,4.46,4.46,4.25,52,81518,363570.00,,INE175A01038,15-Apr-20,,
500220,JASCH INDUST,X ,Q,21.90,22.00,20.60,20.60,20.60,20.50,9,1611,33886.00,,INE711C01010,15-Apr-20,,
500223,JCT LTD     ,XT,Q,1.13,1.13,1.08,1.08,1.08,1.13,73,169397,183941.00,,INE945A01026,15-Apr-20,,
500227,JINDAL POLYF,B ,Q,215.00,225.80,203.30,215.00,215.00,215.15,138,763,166267.00,,INE197D01010,15-Apr-20,,
500228,JSWSL       ,A ,Q,169.50,174.85,166.00,171.15,171.15,167.70,5310,660015,112935738.00,,INE019A01038,15-Apr-20,,
500231,UMANG DAIR  ,B ,Q,40.00,40.00,34.75,36.40,36.40,37.30,67,6510,228504.00,,INE864B01027,15-Apr-20,,
500233,KAJARIA CER.,A ,Q,365.00,370.60,357.00,366.75,365.40,352.15,410,5058,1847877.00,,INE217B01036,15-Apr-20,,
500234,KAKATIYA CEM,B ,Q,135.05,145.00,131.00,133.10,133.20,135.85,404,4552,638553.00,,INE437B01014,15-Apr-20,,
500235,KALYANI STEL,B ,Q,142.00,149.00,139.10,142.20,144.85,142.40,702,7778,1126280.00,,INE907A01026,15-Apr-20,,
500236,KANELIND    ,XT,Q,0.27,0.27,0.26,0.26,0.26,0.27,2,201,52.00,,INE252C01015,15-Apr-20,,
500238,WHIRLPOOL   ,A ,Q,1839.05,1840.55,1756.00,1772.90,1772.90,1840.60,1414,10558,18888062.00,,INE716A01013,15-Apr-20,,
500239,KG DENIM    ,X ,Q,19.10,19.10,17.75,18.40,18.40,18.20,83,7978,147306.00,,INE104A01012,15-Apr-20,,
500240,KINETIC ENG.,XT,Q,17.27,17.27,17.27,17.27,17.27,16.45,7,263,4542.00,,INE266B01017,15-Apr-20,,
500241,KIRL.BROS.  ,B ,Q,98.00,102.00,95.50,95.95,96.40,94.55,457,7088,695568.00,,INE732A01036,15-Apr-20,,
500243,KIRL INDUS  ,B ,Q,469.00,469.80,455.90,469.80,469.80,454.00,37,1285,592254.00,,INE250A01039,15-Apr-20,,
500245,KIRL.FERROUS,B ,Q,52.35,53.50,49.20,51.50,50.70,49.40,298,205806,10599133.00,,INE884B01025,15-Apr-20,,
500247,KOTAK MAH.BK,A ,Q,1269.45,1270.00,1154.10,1173.30,1173.30,1251.25,19154,358215,436905267.00,,INE237A01028,15-Apr-20,,
500249,KSB         ,B ,Q,498.70,553.45,492.60,495.60,497.90,486.75,414,2898,1520569.00,,INE999A01015,15-Apr-20,,
500250,L.G.BALKRISH,B ,Q,178.00,184.70,176.75,179.95,182.00,176.85,164,1248,225295.00,,INE337A01034,15-Apr-20,,
500251,TRENT LTD.  ,A ,Q,465.00,465.05,447.70,454.35,454.35,452.10,1636,19180,8774398.00,,INE849A01020,15-Apr-20,,
500252,LAXMIMACH   ,A ,Q,2542.15,2550.00,2417.90,2434.85,2417.90,2486.00,216,832,2076933.00,,INE269B01029,15-Apr-20,,
500253,LIC HOUS.FIN,A ,Q,246.00,264.75,246.00,248.35,248.35,243.90,6400,268525,68403606.00,,INE115A01026,15-Apr-20,,
500254,UTTAMVALUE  ,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,59,49802,9462.00,,INE292A01023,15-Apr-20,,
500257,LUPIN LTD.  ,A ,Q,845.00,853.70,791.15,810.55,810.55,825.95,7952,192956,160304088.00,,INE326A01037,15-Apr-20,,
500259,LYKA LABS   ,B ,Q,20.45,20.45,18.87,18.93,19.25,19.91,142,17571,337080.00,,INE933A01014,15-Apr-20,,
500260,RAMCOCEM    ,A ,Q,510.50,544.00,508.10,516.95,518.25,505.40,1715,27569,14480373.00,,INE331A01037,15-Apr-20,,
500264,MAFATLAL IND,X ,Q,63.35,67.00,60.10,61.70,61.70,61.00,32,2207,138239.00,,INE270B01027,15-Apr-20,,
500265,MAH.SEAMLESS,A ,Q,192.35,193.00,190.75,191.85,190.75,192.00,263,2365,455451.00,,INE271B01025,15-Apr-20,,
500266,MAH.SCOOTER ,A ,Q,2260.95,2323.75,2203.15,2240.65,2203.15,2257.25,82,225,515558.00,,INE288A01013,15-Apr-20,,
500267,MAJESTIC AUT,X ,Q,68.00,70.00,65.15,68.70,68.70,67.90,40,3474,235485.00,,INE201B01022,15-Apr-20,,
500268,MANALI PETRO,B ,Q,16.85,16.90,15.55,16.05,16.10,17.00,498,46067,751819.00,,INE201A01024,15-Apr-20,,
500271,MFSL        ,A ,Q,362.65,412.25,362.25,396.35,396.35,350.85,6592,175053,68266091.00,,INE180A01020,15-Apr-20,,
500279,MIRC ELECT  ,B ,Q,4.85,5.02,4.85,5.02,5.02,4.79,76,111528,558233.00,,INE831A01028,15-Apr-20,,
500280,CENTURY ENKA,B ,Q,131.25,133.80,129.50,131.25,130.95,128.25,248,2372,313425.00,,INE485A01015,15-Apr-20,,
500284,LORDS CHLORO,XT,Q,21.75,21.75,21.75,21.75,21.75,20.75,1,1,21.00,,INE846D01012,15-Apr-20,,
500285,SPICEJET LTD,A ,Q,47.40,47.90,46.30,46.30,46.30,48.70,5929,528323,24782612.00,,INE285B01017,15-Apr-20,,
500288,MOREPEN LAB.,B ,Q,16.00,16.35,14.50,14.59,14.70,15.74,837,210277,3218326.00,,INE083A01026,15-Apr-20,,
500290,MRF LTD.    ,A ,Q,57600.00,58394.95,56850.00,57433.40,57433.40,57303.35,411,476,27395600.00,,INE883A01011,15-Apr-20,,
500292,HEIDEL CEM  ,A ,Q,155.00,156.60,149.85,150.35,150.80,154.10,2273,43891,6737228.00,,INE578A01017,15-Apr-20,,
500294,NCC         ,A ,Q,25.05,27.45,24.65,25.40,25.40,23.95,7525,3485656,91036958.00,,INE868B01028,15-Apr-20,,
500295,VEDL        ,A ,Q,79.00,83.20,77.65,78.55,79.10,78.40,9048,2103689,168686408.00,,INE205A01025,15-Apr-20,,
500296,NAHAR SPG.  ,B ,Q,30.55,31.30,29.50,30.85,30.85,30.00,15,1524,46503.00,,INE290A01027,15-Apr-20,,
500298,NAT.PEROXIDE,X ,Q,1557.00,1630.00,1525.00,1542.50,1542.50,1549.80,695,6203,9762476.00,,INE585A01020,15-Apr-20,,
500300,GRASIM IND. ,A ,Q,559.90,573.00,530.25,535.20,534.10,544.30,4881,91804,50912685.00,,INE047A01021,15-Apr-20,,
500302,PEL         ,A ,Q,928.00,999.80,920.85,933.30,933.30,919.50,7044,110241,105971416.00,,INE140A01024,15-Apr-20,,
500304,NIIT LTD.   ,B ,Q,80.80,84.10,79.45,81.00,81.45,79.90,823,30628,2518287.00,,INE161A01038,15-Apr-20,,
500306,JAYKAY      ,X ,Q,2.84,3.25,2.84,2.97,3.00,2.92,16,10681,34563.00,,INE903A01025,15-Apr-20,,
500307,NIRLON      ,B ,Q,239.00,239.00,235.00,236.85,235.55,233.70,43,1153,273425.00,,INE910A01012,15-Apr-20,,
500312,ONGC CORPN  ,A ,Q,75.55,76.45,73.55,74.35,74.35,75.05,6802,1321745,99521461.00,,INE213A01029,15-Apr-20,,
500313,OIL COUNTRY ,B ,Q,4.55,4.55,4.55,4.55,4.55,4.14,4,122,555.00,,INE591A01010,15-Apr-20,,
500314,ORIENT HOTEL,B ,Q,16.15,19.45,16.15,18.35,18.35,17.80,35,2067,37384.00,,INE750A01020,15-Apr-20,,
500317,OSWAL AGRO. ,B ,Q,4.52,5.25,4.52,4.86,4.90,4.61,156,12807,65222.00,,INE142A01012,15-Apr-20,,
500319,INDIAN SUCRO,X ,Q,20.00,20.80,19.05,19.75,19.20,19.90,35,15355,303827.00,,INE557C01017,15-Apr-20,,
500325,RELIANCE    ,A ,Q,1201.00,1235.95,1142.70,1150.05,1150.05,1189.25,32228,834155,985936742.00,,INE002A01018,15-Apr-20,,
500327,PILITA      ,B ,Q,4.02,4.18,4.00,4.00,4.00,4.00,8,20561,82246.00,,INE600A01035,15-Apr-20,,
500329,PENTAMED.G  ,X ,Q,0.49,0.50,0.36,0.43,0.44,0.43,201,207561,96679.00,,INE202A01022,15-Apr-20,,
500330,RAYMOND     ,A ,Q,274.00,279.20,269.00,274.15,274.15,265.95,1943,54412,15090994.00,,INE301A01014,15-Apr-20,,
500331,PIDILITE    ,A ,Q,1392.15,1489.90,1392.15,1473.70,1473.70,1376.45,4291,60491,87895359.00,,INE318A01026,15-Apr-20,,
500333,PIX TRANS   ,X ,Q,96.00,98.95,92.10,92.50,92.10,93.20,79,5976,559106.00,,INE751B01018,15-Apr-20,,
500335,BIRLA CORPN.,A ,Q,449.45,451.00,421.00,429.40,434.00,440.05,413,2817,1239265.00,,INE340A01012,15-Apr-20,,
500336,SURYA ROSHNI,B ,Q,80.50,83.00,78.40,81.00,81.00,79.55,233,5098,416103.00,,INE335A01012,15-Apr-20,,
500337,PRIME SECUR.,B ,Q,29.90,32.25,28.40,31.45,28.40,28.40,199,18111,557408.00,,INE032B01021,15-Apr-20,,
500338,PRSMJOHNSN  ,A ,Q,38.15,38.85,35.80,36.25,36.35,37.65,675,33426,1255863.00,,INE010A01011,15-Apr-20,,
500339,RAIN        ,A ,Q,70.00,74.35,67.65,68.85,68.85,66.95,2327,154340,10971312.00,,INE855B01025,15-Apr-20,,
500343,AMJLAND     ,B ,Q,15.40,15.40,14.10,15.09,15.09,14.82,8,395,5731.00,,INE606A01024,15-Apr-20,,
500346,PUN.COMMUNI.,B ,Q,11.35,11.35,11.29,11.29,11.29,10.81,3,22,249.00,,INE609A01010,15-Apr-20,,
500350,RSWM  LTD   ,B ,Q,71.05,74.50,70.90,74.05,74.50,69.45,132,3234,236611.00,,INE611A01016,15-Apr-20,,
500354,RAJSH.SUGAR ,T ,Q,16.00,16.00,15.20,15.20,15.20,16.00,13,574,8727.00,,INE562B01019,15-Apr-20,,
500355,RALLIS INDIA,A ,Q,215.00,230.00,202.95,207.15,207.15,206.10,6097,138046,30467347.00,,INE613A01020,15-Apr-20,,
500356,RAMANEWS    ,B ,Q,13.14,13.99,13.14,13.99,13.99,14.13,20,2915,39310.00,,INE278B01020,15-Apr-20,,
500360,RAPICUT CARB,X ,Q,26.80,26.80,21.15,24.00,24.00,24.50,30,7271,160107.00,,INE350D01015,15-Apr-20,,
500365,WELSPLSOL   ,XT,Q,6.67,6.97,6.67,6.97,6.97,6.64,22,18380,127260.00,,INE731F01037,15-Apr-20,,
500366,ROLTA (I)   ,B ,Q,3.06,3.08,3.00,3.08,3.08,2.94,83,103609,318563.00,,INE293A01013,15-Apr-20,,
500367,RUBFILA INT.,X ,Q,25.00,26.30,24.85,25.00,25.00,25.25,180,43305,1087832.00,,INE642C01025,15-Apr-20,,
500368,RUCHI SOYA  ,T ,Q,240.00,240.00,240.00,240.00,240.00,228.60,7,75,18000.00,,INE619A01035,15-Apr-20,,
500378,JINDAL SAW  ,A ,Q,54.35,56.15,52.15,53.05,53.05,53.25,997,101353,5496802.00,,INE324A01024,15-Apr-20,,
500380,JK LAKSHMI  ,A ,Q,197.05,208.40,197.05,200.45,200.00,194.45,1445,16497,3348747.00,,INE786A01032,15-Apr-20,,
500387,SHREE CEMENT,A ,Q,17584.95,18520.00,17570.95,18155.80,18071.25,17311.40,803,1621,29327198.00,,INE070A01015,15-Apr-20,,
500388,SHREE KRISHN,XT,Q,27.00,27.00,27.00,27.00,27.00,27.10,1,1,27.00,,INE970C01012,15-Apr-20,,
500390,REL INFRA   ,A ,Q,14.18,14.18,14.11,14.18,14.18,13.51,232,122259,1733537.00,,INE036A01016,15-Apr-20,,
500399,STEELCO GUJ.,XT,Q,1.25,1.30,1.20,1.30,1.30,1.26,24,18587,22418.00,,INE629B01024,15-Apr-20,,
500400,TATA POWER  ,A ,Q,36.95,37.50,34.60,35.15,34.80,35.90,2634,501379,18173791.00,,INE245A01021,15-Apr-20,,
